TopicType,Title,LiveUrl,PageViews,PVs MoM,Visitors,OrganicSearchReferrals,PrimaryKPIScoreRank,PrimaryKPIScoreRank Change,ClickThroughRate,CopyTryScrollRate,BounceRate,ExitRate,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,ScrollRate,MedianMaxScroll,DwellRate,CSATHelpfulRate,CSATResponseRate,CSATHelpfulRatings,CSATTotalResponses,RatingVerbatims,GitHubOpenIssueCount,GitHubTotalIssueCount,GitHubNewIssueCount,GitHubOpenIssuesLink,Freshness,LastCommitDateTime,LinesChanged,LastReviewed,MSAuthor,AcrolinxScore,AcrolinxClarity,PrimaryKPIScore,TopicKey
conceptual,What is Azure Virtual Network NAT?,https://docs.microsoft.com/en-us/azure/virtual-network/nat-gateway/nat-overview,"7,895",-9.70%,"5,520","3,713",26.30701662,-3.536791492,22.66%,84.18%,10.91%,40.81%,47.03%,18.39%,32.25%,2.06%,0.27%,5%,0%,84%,36,13.75%,0.00%,0.00%,0,0,0,0,3,,,0-90 days,2022-04-19,1,2022-03-17,allensu,,,0.959390575,b6ccf8fc-e5ad-4b65-280b-0e8718d6419d
quickstart,Quickstart: Create a virtual network - Azure portal - Azure Virtual Network,https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-portal,"6,985",-9.61%,"4,839","2,450",14.82866044,-2.353904314,20.92%,88.16%,9.21%,42.56%,35.08%,16.59%,43.61%,4.61%,0.10%,9%,0%,88%,30,11.33%,0.00%,0.00%,0,0,0,1,15,,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+0f0990fc-9834-bde3-5e06-071c75fa89a5+in:body,0-90 days,2022-04-13,45,2022-04-13,mbender,,,0.998695194,9ba60052-e0f1-d604-e3b5-e6b481308bec
troubleshooting,Troubleshoot outbound SMTP connectivity in Azure,https://docs.microsoft.com/en-us/azure/virtual-network/troubleshoot-outbound-smtp-connectivity,"6,609",-23.19%,"4,199","3,033",58.34370002,-0.645264026,13.80%,89.62%,8.35%,57.65%,45.89%,24.21%,25.16%,4.04%,0.70%,10%,0%,89%,40,30.83%,0.00%,0.00%,0,0,0,5,15,1,https://github.com/MicrosoftDocs/azure-docs/issues?utf8=%E2%9C%93&q=is:issue+is:open+027fa865-2329-23de-3740-cfbe35359302+in:body,> 365 days,2022-03-10,6,2021-04-28,genli,,,0.950636929,e3b27424-465a-19ab-b3e7-5823ab5af6bf
conceptual,Azure application security groups overview,https://docs.microsoft.com/en-us/azure/virtual-network/application-security-groups,"6,338",-16.52%,"4,650","3,782",32.21504921,1.053704049,19.08%,87.33%,7.29%,43.06%,59.67%,9.83%,25.56%,4.81%,0.13%,5%,0%,87%,45,21.11%,100.00%,0.02%,1,1,0,0,4,,,> 365 days,2022-04-12,4,2020-02-27,mbender,,,0.991193857,9c548df1-46a2-c617-d10b-78b312133932
how-to,"Create, change, or delete an Azure network interface",https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-network-interface,"6,305",-16.11%,"4,712","2,648",42.075287,2.238252614,20.46%,89.16%,6.46%,43.24%,42.00%,17.34%,36.07%,4.12%,0.48%,4%,0%,89%,47,2.27%,0.00%,0.00%,0,0,0,0,3,,,> 365 days,2022-04-12,4,2020-01-22,mbender,,,1.031601062,2a914533-2376-f090-f151-471aecbd4df2
how-to,"Create, change, or delete an Azure network security group",https://docs.microsoft.com/en-us/azure/virtual-network/manage-network-security-group,"6,294",-13.84%,"4,682","3,761",40.05517487,3.853527304,20.03%,90.13%,7.88%,43.80%,59.76%,10.41%,23.69%,6.15%,0.00%,4%,0%,90%,25,3.11%,0.00%,0.00%,0,0,0,0,6,,,> 365 days,2022-04-12,4,2020-03-13,mbender,,,1.022868548,06045e7a-06b0-f6bf-1e7f-f16a797b650a
article,What is IP address 168.63.129.16?,https://docs.microsoft.com/en-us/azure/virtual-network/what-is-ip-address-168-63-129-16,"5,787",-16.17%,"4,296","2,796",18.78875602,2.049861995,7.21%,79.42%,10.39%,59.13%,48.32%,23.12%,24.28%,3.94%,0.35%,20%,0%,74%,23,24.17%,0.00%,0.00%,0,0,0,0,5,,,> 365 days,2022-01-01,1,2019-05-15,genli,,,0.762431785,2bc91cc2-12d6-93d4-64e4-f54c5e269f71
conceptual,Virtual networks and virtual machines in Azure,https://docs.microsoft.com/en-us/azure/virtual-network/network-overview,"5,557",-20.99%,"4,279","3,158",26.63773944,-1.046476675,20.48%,86.14%,10.47%,46.43%,56.83%,7.86%,31.02%,4.28%,0.00%,4%,0%,86%,29,3.53%,100.00%,0.02%,1,1,0,,,,,91-365 days,2022-01-26,4,2021-08-17,allensu,,,0.961470205,88fffe75-c988-58c6-d301-7c7a9a52af29
how-to,Associate a public IP address to a virtual machine,https://docs.microsoft.com/en-us/azure/virtual-network/ip-services/associate-public-ip-address-vm,"5,476",-14.61%,"4,337","4,550",23.50271425,1.573989319,14.13%,89.88%,7.65%,55.26%,83.09%,4.91%,10.48%,1.50%,0.02%,3%,0%,90%,25,5.45%,100.00%,0.02%,1,1,0,,,,,> 365 days,,,2019-02-21,allensu,,,0.963606299,42c14b49-9929-b92f-ca3d-0b5aaf47bbd2
article,Azure virtual machine network throughput,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-machine-network-throughput,"5,288",-14.93%,"3,460","2,989",59.75623797,-4.802038959,26.78%,90.84%,7.05%,34.78%,56.52%,13.24%,27.00%,3.18%,0.06%,4%,0%,91%,59,16.11%,100.00%,0.03%,1,1,0,0,10,,,> 365 days,2022-01-01,1,2019-04-26,steveesp,,,1.105620535,57855fc2-b518-7f68-f014-bbef2183ec02
